id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30916586,Gorgeous Queen Anne Townhouse - Rooftop Deck!,161841146,Patrick And Ellen,Queen Anne,West Queen Anne,47.6385,-122.37344,Entire home/apt,147,30,86,2021-01-16,3.14,1,0
30960947,Spectacular Views-Downtown Skyline and Lake Union,231340748,Alice,Other neighborhoods,Wallingford,47.6531,-122.32926,Entire home/apt,127,1,110,2021-03-07,4.07,2,233
30963639,★Happy House: Kitchen+W/D+Link★,273352654,Curtis And Thao,Rainier Valley,Dunlap,47.52106,-122.2745,Entire home/apt,299,30,63,2020-10-16,2.31,1,0
30979989,"Magical Victorian.  Views, King Bed, Private.  Wow",22816006,Seth,Queen Anne,West Queen Anne,47.62933,-122.36916,Entire home/apt,750,30,3,2019-07-12,0.12,2,12
31040215,Spectacular Lake Union View & High Speed Internet,231340748,Alice,Other neighborhoods,Wallingford,47.65265,-122.33047,Entire home/apt,81,1,148,2021-03-11,5.87,2,1
31091766,Entire Townhome w/ Private Roof Deck & Parking,27821253,Yosuke,Central Area,Minor,47.61455,-122.30733,Entire home/apt,175,2,68,2020-12-30,2.77,1,0
31116686,Spacious 2 Br unit in the heart of Seattle,145720154,Chima,Rainier Valley,Mount Baker,47.56699,-122.28635,Entire home/apt,132,2,17,2021-01-29,1.97,6,87
31129657,Little Oasis,777748,Michal,Beacon Hill,North Beacon Hill,47.57212,-122.3068,Entire home/apt,76,1,112,2021-03-29,4.07,1,51
31138126,Great View Capitol Hill 1 Bedroom,84470311,Parker,Capitol Hill,Broadway,47.62226,-122.32658,Entire home/apt,99,2,72,2021-02-07,2.72,4,28
31145360,Ravenna Studio Cottage Near UW and Green Lake,4746434,Stacy,University District,University District,47.67239,-122.31949,Entire home/apt,87,2,76,2020-03-11,2.77,1,120
31202562,"Modern, Convenient BR for traveler near Light Rail",127069597,Richard,Rainier Valley,Dunlap,47.52325,-122.27513,Private room,50,60,58,2019-10-31,2.22,2,196
